Situation 	Topic	Message	Message type	Values 	sub values 
waiting at stations	Shopping	__ will go to shopping in __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, 1 hour, 1 hour 15 min, 1 hour and a half, 2 hours, 2 hours and a half, 3 hours"	
waiting at stations	Shopping	I will go to shopping __	Notifying someone	"Today, today morning, today afternoon, tonight, tomorrow"	
nearby points-of-interest	Shopping	I just finished shopping; I am returning back	Notifying someone		
waiting at stations	Shopping	__ will go to shopping __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague -- Today, today morning, today afternoon, tonight, tomorrow"	
waiting at stations	Shopping	I will go to shopping at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Shopping	__ I went shopping	Notifying someone	"Yesterday, today morning, today afternoon, tonight"	
waiting at stations	Shopping	I will go for shopping on __	Notifying someone	"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, weekend "	
waiting at stations	Shopping	__ will go for shopping on __	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague -- Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, weekend "	
waiting at stations	Shopping	I asked my __ to go to shopping	Notifying someone	"Friend, parents, son, dad, mom, daughter, wife, husband"	
waiting at stations	Shopping	I will ask my __ to go to shopping	Notifying someone		
inside frequently visited locations	Shopping	I am getting ready to go for shopping 	Notifying someone		
inside frequently visited locations	Shopping	__ is getting ready to go for shopping 	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague"	
nearby points-of-interest	Shopping	I couldn't buy everything from the grocery	Notifying someone		
nearby points-of-interest	Shopping	__ couldn't buy everything from the grocery	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague"	
waiting at stations	Shopping	I will do online shopping 	Notifying someone		
in-vehicle	Shopping	"I can’t go to shopping today, can someone else go?"	Notifying someone		
in-vehicle	Shopping	"__ can’t go to shopping today, can someone else go?"	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague"	
in-vehicle	Shopping	I can’t go to shopping 	Notifying someone		
in-vehicle	Shopping	__ can’t go to shopping 	Notifying someone	"The son, mom, my friend, dad, the daughter, my wife, my husband, my colleague"	
nearby points-of-interest	Shopping	Have you arrived at the __ yet?	Coordinating with someone	"Store, mall, Walmart, target, Costco"	
nearby points-of-interest	Shopping	"I arrived at *, are you coming?"	Coordinating with someone		
nearby points-of-interest	Shopping	"I arrived at *, when will you arrive?"	Coordinating with someone		
in-vehicle	Shopping	"I am still on the way, when will you arrive at __?"	Coordinating with someone	"Store, mall, Walmart, target, Costco"	
walking to stations	Shopping	"I just left the house, when will you arrive at __?"	Coordinating with someone	"Store, mall, Walmart, target, Costco"	
walking to stations	Shopping	What do you want to buy on the way?	Scheduling plans		
walking to stations	Shopping	When do you want to go for shopping?	Scheduling plans		
walking to stations	Shopping	Let’s go to shopping __	Scheduling plans	"Today, today morning, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
in-vehicle	Shopping	"I can’t go to shopping today, can we cancel our plan?"	Scheduling plans		
in-vehicle	Shopping	Can we make a plan to go to __?	Scheduling plans	"Mall, Walmart, target, Costco"	
walking to stations	Shopping	Can __ bring me to the __?	Requesting help	"You, someone, dad, mom, the son, your friend, the daughter, your wife, your husband  -- Store, mall, Walmart, target, Costco"	
walking to stations	Shopping	Can __ bring me to the supermarket?	Requesting help	"You, someone, dad, mom, the son, your friend, the daughter, your wife, your husband "	
walking to stations	Shopping	Can __ come with me for shopping?	Requesting help		
nearby points-of-interest	Shopping	I arrived at the store; can you come out and get me in?	Requesting help		
in-vehicle	Shopping	"I can’t come for shopping, can we reschedule? "	Rescheduling plans		
in-vehicle	Shopping	"I can’t go to __, can we reschedule? "	Rescheduling plans	"Store, mall, Walmart, target, Costco"	
nearby points-of-interest	Shopping	"Will __ be able to come for shopping? If not, we can reschedule."	Rescheduling plans	"You, dad, mom, the son, your friend, the daughter, your wife, your husband "	
in-vehicle	Shopping	Let me know if you need a ride after shopping 	offering help		
in-vehicle	Shopping	Let me know if __ needs a ride after shopping 	offering help	"dad, mom, the son, your friend, the daughter, your wife, your husband "	
in-vehicle	Shopping	Let me know if you need a ride to go to shopping 	offering help		
in-vehicle	Shopping	Let me know if you want me to guide you in once you arrive to the store	offering help		
in-vehicle	Shopping	Let me know if __ needs a ride to go to shopping 	offering help	"dad, mom, the son, your friend, the daughter, your wife, your husband "	
walking to stations	Shopping	Remember today at __ I will see you at the __ of the store	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 – entrance, front door, exit"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Shopping	Remember __ I am going to shopping 	Reminding someone	"Today, today morning, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
walking to stations	Shopping	"Remember __,  __is  going to shopping "	Reminding someone	"Today, today morning, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- dad, mom, the son, your friend, the daughter, your wife, your husband "	
walking to stations	Shopping	Remember on __ I will go to shopping 	Reminding someone	"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, weekend "	
walking to stations	Shopping	"Remember on __, __ will go to shopping "	Reminding someone	"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, weekend -- dad, mom, the son, your friend, the daughter, your wife, your husband "	
walking to stations	Shopping	Remember today at __ I will see you at the __ of the mall	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 – entrance, front door, exit, first floor, second floor"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Shopping	Remember today for shopping we will meet each other at __	Reminding someone	"bus stop, train station, my place, your place, Store, mall, Walmart, target, Costco, work, school"	
in-vehicle	Pick up	I am on my way to pick you up	Notifying someone		
in-vehicle	Pick up	I will pick up the __ on the way	Notifying someone	"Kids, package, food, car, dog, bag, mail, luggage "	
in-vehicle	Pick up	I picked up the __ on the way 	Notifying someone		
in-vehicle	Pick up	I will pick up the __ at __	Notifying someone	"Kids, package, food, car, dog, bag, mail, luggage -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Pick up	I picked up the __ at __	Notifying someone		
in-vehicle	Pick up	I will pick up the __ in __	Notifying someone	"Kids, package, food, car, dog, bag, mail, luggage -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
nearby points-of-interest	Pick up	__ will pick me up in __	Notifying someone	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Pick up	__ will pick you up in __	Notifying someone		
nearby points-of-interest	Pick up	__ will pick me up at __	Notifying someone	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Pick up	__ will pick you up at __	Notifying someone		
nearby points-of-interest	Pick up	__ will pick me up for __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague -- today, tomorrow"	
nearby points-of-interest	Pick up	__ will pick you up for __	Notifying someone		
nearby points-of-interest	Pick up	__ will pick me up on __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague -- Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday "	
nearby points-of-interest	Pick up	__ will pick you up on __	Notifying someone		
nearby points-of-interest	Pick up	Pick me up from __ in __	Notifying someone	"Work, school, mall, gym, restaurant, bar, store, Starbucks -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
nearby points-of-interest	Pick up	Pick me up from __ at __	Notifying someone	"Work, school, mall, gym, restaurant, bar, store, Starbucks -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Pick up	You don’t have to pick me up __	Notifying someone	"Right now, later, today, tomorrow"	
waiting at stations	Pick up	You don’t have to pick me up on __	Notifying someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday "	
inside frequently visited locations	Pick up	I need to be picked up	Notifying someone		
nearby points-of-interest	Pick up	__ needs to be picked up	Notifying someone	"dad, mom, the son, your friend, the daughter, my wife, my husband "	
walking to stations	Pick up	"I will reach the station in __, come and pick me up"	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
walking to stations	Pick up	"I will reach the station at __, come and pick me up"	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside points-of-interest	Pick up	I’ll be coming out in a few minutes. You can come and pick me up	Notifying someone		
walking to stations	Pick up	Pick me up from the station in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
walking to stations	Pick up	Pick me up from the station at  __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Pick up	I picked up __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend"	
in-vehicle	Pick up	I will pick up __	Notifying someone		
in-vehicle	Pick up	I picked up __ at __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Pick up	I will pick up __ at __	Notifying someone		
nearby points-of-interest	Pick up	I will pick __ in __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
nearby points-of-interest	Pick up	I will pick you up in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
nearby points-of-interest	Pick up	I will pick you up at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Pick up	I will pick you up in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
waiting at stations	Pick up	I can’t pick you up __	Notifying someone	"Now, today, tomorrow "	
walking to stations	Pick up	I can’t pick you up on __	Notifying someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday "	
nearby points-of-interest	Pick up	__ I will pick you up 	Notifying someone	"today, later today, tomorrow "	
nearby points-of-interest	Pick up	Can I ride home with you? 	Requesting help		
nearby points-of-interest	Pick up	I need a ride 	Requesting help		
nearby points-of-interest	Pick up	I need a ride __	Requesting help	"Right now, later, today, tomorrow"	
nearby points-of-interest	Pick up	Can you pick me up?	Requesting help		
nearby points-of-interest	Pick up	Can you pick me up from * ?	Requesting help		
nearby points-of-interest	Pick up	Can you pick me up from * in __ ?	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Pick up	Can you pick me up from * at __ ?	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby points-of-interest	Pick up	Can you pick up __ on the way?	Requesting help	"mom, dad, my wife, my husband, the son, the daughter, my friend"	
in-vehicle	Pick up	Can you pick something for __ ?	Requesting help	"Breakfast, lunch, dinner "	
in-vehicle	Pick up	Can you pick something on the way?	Requesting help		
in-vehicle	Pick up	Do you want me to pick you up from *?	Offering help		
in-vehicle	Pick up	Do you want me to pick you up from __?	Offering help	"Work, school, mall, gym, restaurant, bar, store, Starbucks "	
in-vehicle	Pick up	"I am on my way by __, do you want to share ride?"	Offering help	"Uber, Lyft, Taxi, car"	
in-vehicle	Pick up	"I am on my way with my __, do you need a ride?"	Offering help	"Friend, family, mom, dad, wife, husband, son, daughter, friend"	
in-vehicle	Pick up	Do you want me to pick up __ on the way?	Offering help	"Kids, package, food, car, dog, bag, mail, luggage "	
nearby points-of-interest	Pick up	Do you want me to pick something for __ ?	Offering help	"Breakfast, lunch, dinner "	
nearby points-of-interest	Pick up	Do you want me to pick something __ ?	Offering help	"Today, later today, on the way"	
nearby points-of-interest	Pick up	Where are you? I need a ride	Coordinating with someone		
nearby points-of-interest	Pick up	where are you? I am waiting for you to pick me up	Coordinating with someone		
nearby points-of-interest	Pick up	Where are you? __ is waiting for you to be picked up	Coordinating with someone	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague "	
nearby points-of-interest	Pick up	"I am at __ and need a ride, where are you?"	Coordinating with someone	"Work, school, mall, gym, restaurant, bar, store, Starbucks "	
nearby points-of-interest	Pick up	"I am at __ and need a ride, what time are you going to arrive?"	Coordinating with someone	"Work, school, mall, gym, restaurant, bar, store, Starbucks "	
nearby points-of-interest	Pick up	What time are you going to arrive? I need a ride	Coordinating with someone		
nearby points-of-interest	Pick up	What time are you going to arrive? __ needs a ride	Coordinating with someone	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague "	
nearby points-of-interest	Pick up	"I am at * and need a ride, what time are you going to arrive?"	Coordinating with someone		
nearby points-of-interest	Pick up	"I am at * and need a ride, what time are you going to arrive?"	Coordinating with someone		
nearby points-of-interest	Pick up	Who will pick me up from __ ?	Scheduling plans	"Work, school, class, mall restaurant, gym, Starbucks, supermarket"	
nearby points-of-interest	Pick up	Who is going to pick me up from * ?	Scheduling plans		
nearby points-of-interest	Pick up	When do you want to pick up __ from __?	Scheduling plans	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague --  Work, school, mall, gym, restaurant, bar, store, Starbucks "	
nearby points-of-interest	Pick up	What time do you want me to pick you up?	Scheduling plans		
nearby points-of-interest	Pick up	When do you want to pick me up from __?	Scheduling plans	"Work, school, mall, gym, restaurant, bar, store, Starbucks "	
in-vehicle	Pick up	"Sorry, I can’t give you a ride __"	Scheduling plans	"Today, tomorrow "	
in-vehicle	Pick up	"Sorry, I can’t give you a ride on __"	Scheduling plans	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday "	
in-vehicle	Pick up	"Sorry, __ I can’t give ride to __"	Scheduling plans	"Today, tomorrow -- mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague "	
in-vehicle	Pick up	"Sorry, I can’t give ride to __ on __"	Scheduling plans	"mom, dad, your wife, your husband, the son, the daughter, my friend, my colleague -- Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday "	
walking to stations	Pick up	"I can’t come at __, can I pick you up at __ instead?"	Rescheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 -- 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Pick up	"I can’t come at __, can I ask __ to pick you up instead?"	Rescheduling plans	"mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague "	
waiting at stations	Pick up	Remember I will be at the front door at __ to pick you up	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Pick up	Don’t forget tomorrow I will pick you up at __	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Pick up	Don’t forget to pick me up at __	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Pick up	Don’t forget to pick me up on __ 	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday"	
waiting at stations	Pick up	Don’t forget to pick me up on __ at __	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Pick up	Don’t forget to pick up __	Reminding someone	"The kids, the package, the food, the car, the dog, the bag, the mail, the luggage, mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague "	
waiting at stations	Pick up	Don’t forget to pick up __ at __	Reminding someone	"The kids, the package, the food, the car, the dog, the bag, the mail, the luggage, mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Pick up	Don’t forget on __ I will pick you up at __	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Meeting	There will be a meeting at __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Meeting	There will be a meeting in __	Notifying someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
inside frequently visited locations	Meeting	I am in a meeting 	Notifying someone		
inside frequently visited locations	Meeting	__ is in a meeting 	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague "	
inside frequently visited locations	Meeting	I am in a meeting; I am not going to be back till __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby frequently visited locations	Meeting	I made it to the meeting 	Notifying someone		
waiting at stations	Meeting	We will have a meeting __	Notifying someone	"Soon, today, today morning, today afternoon, tonight, later today, Tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
waiting at stations	Meeting	__ will have a meeting __	Notifying someone	"mom, dad, my wife, my husband, the son, the daughter, my friend, my colleague -- Soon, today, today morning, today afternoon, tonight, later today, Tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
waiting at stations	Meeting	We will have a meeting on __ at __	Notifying someone	"Monday, Tuesday, Wednesday, Thursday, Friday – 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	__ I have a meeting with __	Notifying someone	"Today, Tomorrow – colleagues, manager, faculties, students"	
waiting at stations	Meeting	When today’s meeting will be held?	Coordinating with someone		
waiting at stations	Meeting	What time the meeting on __ will be held?	Coordinating with someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday"	
in-vehicle	Meeting	Are you going to be at the meeting?	Coordinating with someone		
in-vehicle	Meeting	Who will be in the meeting?	Coordinating with someone		
in-vehicle	Meeting	Our meeting is today at __; let me know if you can attend	Coordinating with someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Meeting	Where __’s meeting will be held?	Coordinating with someone	"Today, tomorrow "	
inside frequently visited locations	Meeting	"The meeting will start at __, when are you supposed to arrive?"	Coordinating with someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Meeting	"The meeting will start at __, where are you?"	Coordinating with someone		
inside frequently visited locations	Meeting	"We have a meeting in __, when are you supposed to arrive?"	Coordinating with someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
inside frequently visited locations	Meeting	"We have a meeting in __, where are you?"	Coordinating with someone		
waiting at stations	Meeting	Where the meeting on __ will be held?	Coordinating with someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday"	
inside points-of-interest	Meeting	The meeting on __ is canceled 	Scheduling plans	"Monday, Tuesday, Wednesday, Thursday, Friday "	
inside points-of-interest	Meeting	__’s meeting is canceled 	Scheduling plans	"Today, tomorrow "	
inside points-of-interest	Meeting	The meeting at __ is canceled 	Scheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	Let’s set up a meeting 	Scheduling plans		
waiting at stations	Meeting	When do you want to have a meeting for the __?	Scheduling plans	"Project, team, group, plan, proposal, budget, review, board, company, program"	
waiting at stations	Meeting	Let’s set up a meeting with __	Scheduling plans	"colleagues, manager, faculties, students"	
waiting at stations	Meeting	Let’s set up a meeting for __	Scheduling plans	"Today, tomorrow, this week, Monday, Tuesday, Wednesday, Thursday, Friday "	
waiting at stations	Meeting	Let’s set up a meeting for __ with __	Scheduling plans	"Today, tomorrow, this week, Monday, Tuesday, Wednesday, Thursday, Friday -- colleagues, manager, faculties, students"	
walking to stations	Meeting	Don’t forget; we have a group meeting __	Reminding someone	"Soon, today, today morning, today afternoon, tonight, later today, Tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
walking to stations	Meeting	Is the meeting today at __?	Reminding someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Meeting	Don’t forget; we have a meeting  __ at __	Reminding someone	"Today, Tomorrow – 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
walking to stations	Meeting	"Remember, we have a meeting in about __"	Reminding someone	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
walking to stations	Meeting	Don’t forget; we have a meeting  on __ at __	Reminding someone	"Monday, Tuesday, Wednesday, Thursday, Friday – 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	Is the meeting __ at __?	Reminding someone	"today, today morning, today afternoon, tonight, later today, Tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	Is the meeting on __ ?	Reminding someone	"Monday, Tuesday, Wednesday, Thursday, Friday "	
in-vehicle	Meeting	"The meeting on __ is canceled, can we reschedule? "	Rescheduling plans	"Monday, Tuesday, Wednesday, Thursday, Friday "	
in-vehicle	Meeting	"__’s meeting is canceled,  can we reschedule?"	Rescheduling plans	"Today, tomorrow "	
in-vehicle	Meeting	"The meeting at __ is canceled, can we reschedule?"	Rescheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Meeting	"I can’t attend __’s meeting, can we reschedule?"	Rescheduling plans	"Today, tomorrow "	
in-vehicle	Meeting	"I can’t attend the meeting on __, can we reschedule?"	Rescheduling plans	"Monday, Tuesday, Wednesday, Thursday, Friday "	
in-vehicle	Meeting	"I can’t attend the meeting at __, can we reschedule? "	Rescheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	I need a __ for __’s meeting 	Requesting help	"Ride, companion -- Today, tomorrow, Monday, Tuesday, Wednesday, Thursday, Friday "	
waiting at stations	Meeting	"My meeting starts at __, I need a ride "	Requesting help	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Meeting	"My meeting starts in __, I need a ride "	Requesting help	"5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
waiting at stations	Meeting	"I have a meeting __, can you ask __ to give me a ride?"	Requesting help	"Today, tomorrow, on Monday, on Tuesday, on Wednesday, on Thursday, on Friday -- Mom, someone, dad, your wife, your husband, the daughter, the son, your friend "	
nearby points-of-interest	Meeting	"I am here for our meeting, can you come out and guide me in?"	Requesting help		
nearby points-of-interest	Meeting	"I am staying in the __ for our meeting, can you come out and guide me in?"	Requesting help	"Bus stop, train station "	
nearby points-of-interest	Meeting	"I am here for our meeting, can you ask __ to come out and guide me in?"	Requesting help	"someone, a colleague, a student, a faculty, your friend "	
nearby points-of-interest	Meeting	"I am staying in the __ for our meeting, can you ask __ to come out and guide me in?"	Requesting help	"Bus stop, train station -- someone, a colleague, a student, a faculty, your friend "	
in-vehicle	Meeting	Do you want me to share the ride for today’s meeting?	Offering help		
nearby points-of-interest	Meeting	I arrived for our meeting. Do you want me to come and guide you in?	Offering help		
in-vehicle	Meeting	I am on the way for our meeting; do you need a ride?	Offering help		
walking to stations	Appointment	Today I have an appointment with my __	Notifying someone	"Doctor, friends, specialist, colleagues "	
walking to stations	Appointment	__ I have an appointment with my __	Notifying someone	"Today, later today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- Doctor, friends, specialist, colleagues "	
walking to stations	Appointment	__ I have an appointment with my __ at __	Notifying someone	"Today, later today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- Doctor, friends, specialist, colleagues – home, their place, school, work, restaurant, bar, Starbucks, clinic"	
waiting at stations	Appointment	At __ I have an appointment with my __	Notifying someone	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 -- Doctor, friends, specialist, colleagues "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Appointment	__ has an appointment with the __	Notifying someone	"Mom, dad, my wife, my husband, my daughter, my son, my friend -- Doctor, friends, specialist, colleagues "	
waiting at stations	Appointment	I have an appointment with my __ in __	Notifying someone	"Doctor, friends, specialist, colleagues -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min, 35 min, 40 min, 45 min, 50 min, 55 min, an hour"	
waiting at stations	Appointment	Today I will have __ with my __	Notifying someone	"Lunch, breakfast, dinner, brunch, coffee, gathering, drinks, meal – friends, colleagues, family  "	
walking to stations	Appointment	__ I will have __ with my __	Notifying someone	"Today, later today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- Lunch, breakfast, dinner, brunch, coffee, gathering, drinks, meal – friends, colleagues, family  "	
waiting at stations	Appointment	__’s appointment is canceled 	Scheduling plans	"Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night "	
walking to stations	Appointment	We can meet at __ for our appointment 	Scheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Appointment	The appointment at __ is canceled 	Scheduling plans	"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
